date,f1,f2,f3,f4,f5,f6,f7,f8
1967-10-01,-0.058053886,-0.031973948,-0.117411407,-0.085129957,0.216756964,-0.053741131,0.186983861,0.046149074
1967-11-01,-0.640771492,-0.006119257,-0.126964176,-0.164889424,0.116651579,0.122850788,0.202562904,-0.129906491
1967-12-01,-0.40514586,-0.031442746,-0.200749318,-0.092474759,0.100275738,-0.103896316,0.029625111,-0.093355681
1968-01-01,0.290829792,0.089152226,-0.009394493,0.016158846,0.118283144,-0.019586406,0.031653191,0.330074584
1968-02-01,-0.295620476,-0.173531369,-0.003800173,0.049736978,0.069260178,0.244540232,0.02493989,-0.534704378
1968-03-01,-0.211517458,-0.113046095,-0.028953112,-0.05792915,0.096032137,0.003914064,-0.014220415,0.096912499
1968-04-01,-0.166050807,-0.156102768,0.104833248,0.040181624,0.064470905,-0.03698773,-0.383922785,-0.116152492
1968-05-01,-0.317686315,-0.112048175,0.014044978,-0.138635456,-0.056817296,-0.069388298,-0.032302951,0.106537554
1968-06-01,-0.110942589,0.082283683,0.229137348,0.083705072,-0.121079793,0.020634229,0.025537228,-0.100149464
1968-07-01,-0.074125839,-0.119509945,0.050449509,0.143465539,-0.17019161,-0.040714443,-0.014768657,-0.065678659
1968-08-01,-0.128774223,-0.170245486,0.152568916,0.154288903,-0.166797379,0.175591687,-0.088369406,-0.172090236
1968-09-01,-0.205304859,-0.127368796,0.053605477,0.122860913,-0.026542376,-0.013144283,-0.152944354,0.109297047
1968-10-01,-0.279929549,-0.028786345,0.189148607,0.041279693,0.004687292,-0.106441885,-0.075732288,-0.096995257
1968-11-01,-0.364072099,-0.178831344,0.060890762,-0.018936775,-0.064553748,0.067796276,-0.052881525,0.062439772
1968-12-01,-0.106462799,-0.284321436,0.059833323,-0.159225583,0.102981424,-0.07399485,-0.114222649,-0.09061734
1969-01-01,-0.255613856,-0.126085474,0.217520027,-0.090788199,0.068675475,0.072271681,0.064420344,-0.019850993
1969-02-01,-0.316110149,-0.180692276,0.142137774,-0.001268103,-0.111548708,-0.055025958,0.0517504,-0.159280639
1969-03-01,-0.235034886,-0.008790037,0.345153336,-0.070770777,-0.041365527,0.206353269,0.086987351,0.092552928
1969-04-01,-0.00832616,-0.349339017,0.163237638,0.040961573,-0.225388026,-0.161899362,-0.162209084,-0.048935806
1969-05-01,-0.069683576,-0.341667156,0.388292778,-0.018456011,-0.364421402,-0.130512579,-0.321349118,-0.100030918
1969-06-01,-0.258197529,-0.282735158,0.563801031,-0.297549921,-0.317476557,0.133294679,0.097214962,-0.058903773
1969-07-01,-0.119807283,-0.327251179,0.179529876,-0.298397772,-0.294192566,-0.028594111,0.174719875,0.146514911
1969-08-01,-0.158519722,-0.210221523,0.335680389,0.001355831,-0.441700577,0.021639625,-0.153838683,-0.0347847
1969-09-01,0.086988015,-0.158281267,0.393271261,-0.170159866,-0.257874604,-0.176277832,-0.023972594,0.247081886
1969-10-01,-0.036175111,-0.165630981,0.305438541,-0.028199339,-0.318257059,-0.010020257,-0.091631536,-0.236253485
1969-11-01,0.257985388,-0.085443651,0.335040986,-0.090914876,-0.16724421,-0.11302193,-0.135673195,-0.00673463
1969-12-01,0.050100845,-0.280131224,0.307974578,-0.376212252,-0.116463273,0.047168942,0.07796449,-0.084573358
1970-01-01,0.597415349,-0.118159742,0.332786739,-0.156121409,-0.198177714,-0.139391881,-0.039092771,-0.248926434
1970-02-01,0.119351735,-0.090206641,0.219764067,0.038394624,-0.56351978,-0.088240676,0.261019028,-0.146958946
1970-03-01,0.31659882,-0.058804037,0.096635849,0.267942983,-0.328567461,0.030600821,0.159698789,0.001945059
1970-04-01,0.343192304,-0.028248811,0.397543445,-0.159798591,-0.204641687,-0.091036396,0.270182254,0.04543234
1970-05-01,0.303242959,-0.331257107,0.064527866,-0.43935887,-0.054936211,-0.045584122,0.52077642,-0.014292463
1970-06-01,0.208909003,0.049703526,0.178428612,-0.008831593,-0.060364341,-0.12131922,0.208843007,0.068433669
1970-07-01,0.040379347,-0.064248577,0.031823717,0.160826979,-0.080352148,0.00184681,0.148573568,-0.014747863
